Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Amira Taylor,8409,4416,10646,4675,516
Catalina Shepard,10801,77549,23513,75965,705
Muhammad Bullock,9625,38588,93719,37773,613
Sullivan Huynh,10841,88304,81277,90622,671
Colby Buck,12430,24373,88017,26398,2145
Kason Dillon,14306,82413,87002,78013,883
Ethen Bell,13658,51907,83262,50456,711
Krystal Cooke,14937,107177,86572,110217,791
Erica Daniels,16514,7009,88230,6998,728
Aurora Herman,16836,68818,47336,70200,596
Larry Kline,18023,32547,47898,32731,711
Dania Valdez,18861,91281,5828,94213,906
Beatrice Solis,18700,25847,46945,26300,659
Roberto Castaneda,19807,77795,48362,78937,763
Emanuel Hayden,20335,47972,92446,46314,648
Haley Baker,21453,103592,90524,101549,780
Evan Mcknight,24562,10853,92262,10864,722
Lilliana Becker,23369,70401,89348,67671,774
Emery Henry,23943,39838,89710,42052,608
Rayne Sosa,23277,98968,24430,93926,751
Dorian Valenzuela,26203,27132,11810,26765,648
Fletcher Glass,27040,83451,101865,83463,791
Jolie West,23753,54460,4112,54621,757
Fatima Quinn,29501,121340,54345,113659,940
Trenton Rosales,30356,2105,49854,2128,544
James Brennan,35289,71778,113097,65973,803
Jett Sullivan,37113,30838,52814,31245,699
Hector Nguyen,36953,92704,28188,92681,900
Zachary York,41978,15597,1571,15740,544
Jovanny Caldwell,37612,79258,114078,78220,1158
Rachael Glover,36689,47565,53376,46469,648
Skylar Larsen,36872,110699,112764,115563,1032
Axel Jarvis,37452,11185,54259,10411,665
Rogelio Ingram,38874,69369,112185,67992,757
Rachel Lawson,37670,37119,56978,37400,653
Corbin Marquez,41244,110527,63065,106638,1657
Randall Baxter,40354,25216,107854,26025,849
Elsa Bean,42075,79952,106110,78449,975
Rodney Heath,47496,58699,121936,60913,1124
Ben Ware,50175,111490,16136,109718,871
Gianni Yu,235,8208,694,6986,722
Saniya Lee,47387,69885,118902,69937,722
Brennan Banks,47158,36683,111181,35622,1009
Jasper Gibbs,50708,99559,122728,106718,1193
Donald Valencia,49349,20759,7158,20042,739
Adonis Bruce,59950,78747,134510,79344,1141
Davian Watts,54208,56037,4296,51437,1181
Ali Sawyer,66713,114766,38048,119166,1594
Lamont Figueroa,55946,14512,135589,14524,1170
Ariana Miranda,59927,73843,74371,71004,1072
Cesar Avila,56112,44903,130197,46240,1187
Alaina Clayton,63254,116848,144623,116435,1175
Diamond Atkins,57896,27276,118856,27809,1061
Rhianna Holder,59605,82069,117072,80388,1026
Mathew Sanford,81616,84748,44806,88069,1457
Alisha Johns,84157,166507,161064,184078,1875
Lola Schwartz,78162,2288,47198,2231,1359
Zayden Ibarra,67189,72902,147027,74021,980
Jose Rivera,88172,42953,48173,45242,2948
Vaughn Juarez,81558,99266,86405,101371,894
Caroline Griffith,78937,18505,83119,17306,1066
Esmeralda Arias,65726,72128,118185,72575,1061
Angel Cain,74944,64217,130661,62336,912
Mekhi Reyes,71417,107968,127644,108014,785
Mya Johnson,73671,8466,72690,9034,671
Leonidas Anderson,72644,68606,70550,71835,923
Tucker Hoffman,85482,43286,102645,45557,906
Amya Nicholson,79482,116492,38020,114376,1273
Mila Berry,79396,29496,85493,26587,636
Sam Whitney,79166,78788,2156,79126,963
Elaine Diaz,75908,56864,36689,53341,837
Jonathon Allison,80790,128883,76568,124214,1480
Julianne Terry,76568,5340,8638,8065,900
Colin Yang,88700,70332,1267,71181,1319
Kiley Rush,88459,36396,42104,38674,986
Priscilla Schmitt,82092,94775,9751,97781,940
Marshall Monroe,88425,20495,82602,21981,1210
Heather Pollard,83251,90283,22428,88121,1388
Quentin Trujillo,83755,50060,19698,54299,1256
Peter Lynn,73126,97884,63265,99800,757
Cristofer Arnold,77606,11788,69845,11656,877
Damon Mcconnell,74365,66242,33362,65870,768
Whitney Pitts,73918,40567,66437,39425,619
Danny Dickson,77382,98320,69225,97419,1210
Maci Lin,79688,26828,72690,27236,934
Peyton Austin,74199,80480,68933,81564,894
Aidan Melendez,86331,59623,70791,57190,728
Arabella Pearson,92899,135009,41599,134269,1342
Asa Rich,82206,6481,37222,6596,745
Addison Lindsey,83996,108817,74979,108054,906
Belen Stuart,77853,30092,8856,32421,791
Leon Gray,84822,88878,37830,87507,957
Mollie Mendoza,82069,16583,70132,16744,567
Jamari Murillo,87725,76614,75719,79247,952
Andres Barajas,89451,55607,75713,53634,1112
Carmen Walters,86813,101796,6361,99932,1021
Janessa Gregory,86773,12132,78696,11828,889
Aubrie Hensley,85482,70120,72765,72271,820
Anahi Hendrix,89096,33505,39333,35352,1193
Valeria Frank,83279,93823,74606,92790,636
Audrina Cummings,87639,24534,75977,21344,774
Janelle Boone,92406,83904,76189,85126,1296
Emma Nichols,89910,54219,18981,54460,837
Jesse Ashley,99886,132158,81897,130065,1422
Austin Wells,94769,5805,4646,5661,929
Calvin Cruz,97109,74658,86910,82780,1250
Alexandra Orozco,112592,45890,44835,49039,1984
Abbigail Olson,105542,112035,45540,118489,831
Laura Dudley,93909,23931,81415,21683,1812
Lailah Fernandez,98457,87484,94327,92515,1416
Zaid Summers,96174,48735,21035,51615,843
River Sutton,104848,128648,5340,124231,1256
Zaiden Hooper,90714,15247,77336,14117,1038
Janet Pittman,108163,77749,44204,75696,1158
Marquis Edwards,105530,46458,45305,51317,2770
Dominique Le,100557,117422,85505,110257,1227
Reece Rivas,99341,30993,22319,28773,957
Alexa Bond,104354,89601,85815,98710,1296
Marlene Gallegos,116160,62950,46573,65009,1342
Caiden Hester,95756,121684,41628,126428,1181
Lyla Carter,1130,1049,82476,1003,923
Blaze Hawkins,1399,63386,45454,74210,808
Aliza Greer,1858,31176,81065,30127,768
Deon Hobbs,963,87249,80262,87168,883
Kira Rowe,3120,15235,39654,15803,688
Noemi Swanson,4657,74451,10629,73837,504
Belinda Hodge,2948,43968,43618,43636,780
Broderick Dougherty,3436,100087,83440,99547,975
Tianna Frey,4359,7359,77531,7451,493
Sonia Pratt,3952,66816,79281,65021,579
Gretchen Lang,5426,35920,20386,36786,682
Liliana Jefferson,5334,95716,44496,92159,923
Monica Morales,5902,23100,88614,21889,567
Cedric Andrade,6854,82740,87157,81220,1072
Patrick Tucker,854,53410,11036,56835,860
Terrell Salas,11071,123927,26014,117490,877
Daniella Petersen,8977,5466,53066,5518,1061
Demetrius Fitzgerald,8466,82620,110171,70487,1227
Jude Mccoy,9034,35507,53508,36253,1021
Imani Keller,9275,95693,52257,94488,946
Ernest Levine,10210,23530,105427,20312,883
Rosemary Livingston,11203,93622,50186,79052,682
Amare Vasquez,9694,52601,22962,52120,917
Sierra Goodman,12189,134499,102657,113779,929
Camron Dyer,13497,14403,96662,15017,1015
Mattie Rodgers,14920,70281,46395,71319,843
Emmanuel Durham,13216,43699,98951,41989,774
Libby Bird,25090,213212,198768,192028,2426
Troy Skinner,11478,25492,44611,24654,602
Lauren Reynolds,14208,85683,54368,88849,1330
Addison Shannon,15614,43343,25021,37773,2965
Abbie Owen,15837,321,23840,315,516
Caitlyn Oneal,17730,1095,72174,980,2363
Tori Hendricks,16526,67401,49051,66145,785
Emilio Pacheco,17467,33959,29702,33299,1003
Luca Carlson,17748,107102,119550,103328,1439
Jan Hicks,17874,16962,47766,16686,751
Cruz Kane,19096,76000,53640,75484,1021
Damarion Mccullough,17673,44513,43922,44502,843
Cordell Frazier,20587,113934,104567,109557,1772
Maximo Hunt,20937,10159,55435,10658,1118
Darryl Richardson,23811,92199,67045,81954,1434
Kameron Flynn,24379,59996,160674,54426,1066
Sienna Rowland,23645,100448,27121,102479,1439
Israel Combs,20650,22864,97150,22973,745
Kylee Mcdowell,23472,85889,26490,84576,1187
Riya Hammond,25210,61126,66415,57707,1347
Solomon Campbell,24545,112810,102611,113131,1021
Kymani Braun,27413,6889,112580,7164,1290
Carissa Kelley,24029,67372,53772,69300,1009
Georgia Bass,24333,35989,110957,37481,906
London Watson,26587,90903,6309,95928,1244
Russell Walls,29777,21333,14914,23570,963
Anastasia Mullen,28354,101739,135893,96926,1732
Aylin Woodard,16721,66455,4296,62210,1089
Bryant Hoover,38605,154490,144658,155626,2145
Thomas Reeves,30052,15837,73510,14512,854
Arjun Holden,34446,116498,88528,112976,1307
Azul Hancock,33987,49825,151977,53387,1307
Santino Wilkerson,32341,140579,23559,151283,7984
Ryan Duarte,30729,34704,147985,31377,1089
Louis Norris,39672,89147,57850,95618,1393
Lorelei Cox,31572,60558,112494,63305,1554
Natalee Paul,29909,119412,100070,116630,946
Trey Shaffer,29748,1307,50726,1325,642
Macy Robinson,31515,66707,26169,65084,1049
Andy Saunders,31257,31268,58814,30976,957
Kai Archer,36213,91798,105089,91815,1221
Genesis Barrett,31262,16142,92159,15390,717
Tabitha Crosby,32364,73074,94155,67894,722
Briley Lewis,32152,43561,50743,43831,940
Presley Kent,31911,98165,49796,95515,906
Leia Stone,33000,8260,49923,8122,716
Hayley Holt,32737,64407,49481,63810,688
Ashton Odonnell,35519,38255,54735,38817,636
Houston Cabrera,35123,94976,98320,88935,791
Gauge Perry,34222,23232,50766,22050,607
Ryan Underwood,32708,76499,26289,75776,849
Danica Cardenas,36947,51839,105697,50978,1101
Lawson Pope,37618,104263,52137,104911,1021
Maia Duncan,39563,4818,102375,4967,825
Ernesto Reilly,39339,64458,30402,62973,900
Dexter Schmidt,37200,34498,28784,33385,883
Greta Ford,36666,84375,98366,84243,883
Bailee Kelly,41267,19079,58080,18970,1153
Rolando Long,42465,79201,118208,77336,768
Kaeden Carney,44381,56342,128022,55028,1164
Jeremy Sanchez,42580,107527,113745,111720,1646
Matthew Beltran,42758,11874,103070,13067,1032
Chaim Kaiser,42855,70740,114674,70470,1319
Aaliyah Mills,44473,235,105588,240,653
Taylor Hardy,45018,101257,109861,103792,1009
Kaelyn Huerta,44410,30448,103632,28532,935
Maximus Ward,44513,84874,29381,85970,1078
Serena Schneider,43395,55544,53749,54971,579
Tanya Mcmahon,43326,107200,101521,109953,952
Isaiah Browning,42540,3436,105783,3453,654
Andre Douglas,47295,66954,108278,68445,1239
Raelynn Mahoney,47192,32845,117221,34704,843
Ronnie Morton,48672,85809,63753,89429,751
Norah Guerra,46934,17575,110705,17111,711
Zion Prince,44559,72208,54747,77554,648
Kinley Berger,53238,50209,119131,48087,1147
Bria Lozano,48322,107446,31435,107704,1204
Jocelynn Zimmerman,48477,10319,327,11541,630
Eden Kramer,51540,78931,74497,74267,900
Lilianna Carroll,48976,38335,116561,38949,1084
Kaya Morgan,52527,101589,60563,98337,992
Talan Benjamin,50806,24121,113223,24603,768
Julissa Carr,52791,80664,110773,81421,768
Payton Robertson,55080,54994,64114,56445,860
Devon Ritter,56439,125860,32060,118351,1577
Branden Weber,61292,6579,7577,6636,1003
Addisyn Mckay,62542,91757,144090,90427,1325
Melvin Mejia,60609,38943,34503,36763,694
Alissa Guzman,60667,101572,123020,98125,1193
Ximena Simon,52567,20335,18224,19870,648
Julius Snyder,54041,79149,15109,81455,711
Ali Maddox,60868,46068,66696,46848,877
Davon Miller,71612,140493,40693,155803,1755
Julien Mcbride,58693,13520,113332,13325,871
Malachi Watkins,59078,70745,7606,71537,946
Lauryn Roth,56617,43475,34440,43767,1164
Kane Grant,68067,137178,175966,129124,1629
Edith Hughes,62657,28721,123084,28297,894
Brenton Mann,58137,80990,110280,80876,1204
Gunner Hanna,59709,57374,124019,60431,1336
Moses Fuentes,62583,117290,114766,115707,958
Frederick Porter,59709,1508,30442,1508,791
Colt Mccann,65979,61785,67045,60472,1124
Levi Arroyo,66862,30712,132244,30603,1336
Josh Patterson,106901,112162,81099,105955,1376
Dax Boyer,61022,14902,110114,14455,986
Melody Macdonald,64923,73528,64694,71732,785
Jeffrey Duffy,64074,44640,62089,44204,831
Ezequiel Doyle,64407,99983,119435,105158,1124
Viviana Mccarthy,64126,8696,63627,8111,768
Landyn Barnett,65336,66673,126462,66690,1284
Ingrid Horne,63741,34744,70051,38232,912
Vicente Benitez,64344,88213,115477,89865,762
Natasha Keith,65686,21551,30046,21545,613
Shaylee Wyatt,60506,77813,963,77457,602
Chloe Todd,65852,52871,16933,53261,912
Charles Orr,71078,113137,65720,108089,1061
Travis Merritt,67499,4382,62852,4262,653
Ean Vargas,68847,62124,7950,62239,843
Mariela Jensen,74933,37314,40372,34865,1256
Kelton Morrow,79293,97987,19497,100517,1233
Jacquelyn Torres,89457,21884,12241,22107,946
Jamal Hardin,88608,106919,104687,101750,1307
Cayden Fowler,76373,51001,82390,54007,1674
Darren Fletcher,80096,123818,82384,120462,1721
Jayden Wheeler,76889,15826,10273,17386,1262
Ashleigh Mclaughlin,88585,85207,42328,84117,1221
Davis Cochran,86549,49848,90811,46125,1715
Lara Shelton,81128,114336,78392,115259,1721
Natalya Cisneros,76017,31348,87197,28360,1187
Mariyah Ross,89618,101222,25584,99834,1864
Gilberto Hartman,81455,61625,79430,58745,1388
Malik Moody,87065,131676,82717,137166,1956
Celeste Bowman,85499,3309,80520,3533,1617
Amiya Jenkins,77864,65026,73648,67063,1307
Abram Lane,82218,50089,18683,49969,866
Miya Henderson,83061,98417,37211,91339,952
Izayah Huber,79671,16841,78822,19102,1089
Karma Giles,84386,88591,79717,89429,1290
Alanna Burns,78684,48012,72604,48506,1078
Abigayle Mccormick,80509,114531,70367,116257,998
Adelaide Chandler,75805,18660,33333,16457,762
Marc Stanton,80543,69730,17782,69977,1170
Madalynn Drake,76384,39448,70332,39867,1026
Leyla Wolfe,73126,90817,4101,91551,1061
Kamryn Burnett,74273,24723,67613,25997,780
Abraham Sexton,77388,68112,9051,67395,877
Kiana Mcgrath,77423,54730,38112,53582,1032
Efrain Leonard,72902,108496,33201,106574,975
Maliyah Villanueva,74807,6103,8369,7778,1043
Octavio Malone,72007,61917,66977,62009,625
Jadyn Noble,79929,36064,72002,38169,803
Aron Baird,78059,94029,69415,92509,659
Ashtyn Gould,77589,25148,69013,26484,757
Maya Moon,78346,76723,34945,76757,1124
Mckenna Lara,80899,51156,36402,50777,1170
Yadiel Bright,90811,131740,93651,126984,1336
Isabela Landry,90214,16239,77038,14530,1273
Zackary Best,93691,81530,82338,79482,1084
Lilian Farmer,76235,42603,66868,41576,1044
Joaquin Valentine,83675,101584,9591,102639,1089
Adam Madden,81753,2231,37756,2265,820
Dean Luna,81002,87455,36941,89331,1279
Mylee Larson,83445,59548,70711,63145,889
Zechariah Gordon,77279,110837,34612,107911,843
Deven Villegas,78960,1439,18402,1416,1170
Parker Walter,76516,60380,4353,59083,659
Quinten Cook,74153,29496,36138,29909,785
Gary Campos,74709,80795,66541,80755,785
Nevaeh Patrick,81220,15304,35851,15321,694
Deacon Hurley,84966,74744,37951,74652,1376
Alani Rangel,83991,47554,18080,48598,940
Wilson Donaldson,75415,95056,35020,94121,745
Case Choi,82597,8937,73011,9166,998
Jaiden Fry,84805,69564,37905,68130,929
Grant Newman,78438,36023,35576,36568,1038
Elvis Sandoval,79138,88184,8575,87662,860
Bailey Mcmillan,80440,21717,35978,22692,871
Finnegan Wood,81059,74101,631,74291,866
Dayanara Logan,34698,5099,54867,5179,1273
Abby Blankenship,86411,115563,72885,110974,682
Aliana Meza,95848,16738,43056,15958,1095
Payton Barnes,77950,59858,68371,59606,2282
Shaun Parker,80101,33517,8948,34108,734
Daniel Parsons,81925,86520,36460,86606,1164
Alexandria Ortiz,85081,18534,38869,18419,917
Zachery Jacobs,80423,70137,69145,69862,694
Rhett Rocha,82585,49148,18212,48012,843
Haleigh Shepherd,78702,100259,9074,99748,969
Zara Norton,80273,12287,37119,11598,665
Humberto Owens,82115,67958,40452,65187,699
Marques Warner,85442,42397,2317,42328,1049
Amelie Garcia,86801,103138,75529,99456,1141
Ellen Hale,81249,25555,72954,25136,751
Jeremiah Lynch,87036,82063,38565,82252,1153
Romeo Higgins,84140,56055,70763,54827,682
Dustin Sellers,84507,109632,18924,111881,963
Raquel Raymond,83187,3837,38634,3774,1049
Tanner Burton,81862,59692,70028,58103,803
Carolina Webb,88861,31503,9637,31085,780
Chace Pineda,87702,84753,40062,86142,1187
Steve Mcneil,82212,19256,36241,17180,665
Curtis Costa,86033,70648,73688,72564,1095
Talia Bishop,81776,44886,70831,46567,854
Lincoln Riggs,84484,100907,36695,99966,992
Francesca Knight,81392,10382,36769,10399,774
Alejandro Leblanc,94907,70619,77159,71153,1141
Trace Payne,84633,38536,19079,38393,774
Cohen Sloan,87249,92205,9499,92039,1003
Conor Lopez,88872,26834,43372,25188,1084
Amiah Colon,92102,81180,76430,83331,1107
Leo Patel,89515,54133,21006,55590,1175
Lila Franklin,107165,121070,45207,124340,2483
Alyssa Wiggins,117020,2082,5409,1881,1066
Janiah Sharp,116131,73149,49584,71657,1393
Adelyn Garza,102639,33981,92440,34394,1284
Semaj Murphy,104859,106259,86388,105060,1502
Mary Everett,123737,24562,101458,26805,1829
Micheal Hampton,102748,84409,84134,85562,1319
Kassandra Fleming,115965,57248,47989,59370,1870
Dakota Blanchard,102857,118598,80922,110423,1864
Abigail Gonzalez,102387,26174,87599,24258,1233
Carleigh Nolan,99611,74543,22291,76637,1474
Jessica Jones,116997,47995,95452,50703,2059
Hunter Chan,96903,106609,85436,105186,1588
Raiden Yoder,91448,31538,1520,30103,1485
Bernard Hall,100913,86841,43871,88132,1382
Damien Holloway,104917,62904,86228,63128,1967
Makenna Norman,118420,183791,125871,187290,3005
Kian Jennings,688,745,50995,757,1198
Donovan Christensen,722,71457,106798,72225,1290
Sanai Avery,1107,43768,153371,42437,1703
Kenna Osborne,1973,106987,66719,108209,1600
Agustin Donovan,1738,26949,160335,23644,1674
Clinton Roach,1474,85832,27889,88757,1543
Valentina Chung,1784,49762,126026,49951,1055
Tiara Cordova,2311,127672,137459,139139,1606
Keon Nielsen,3109,10967,62072,8415,1244
Jaydan Palmer,2346,77824,47295,76832,1061
Jesus Cannon,2753,38777,94293,38697,1170
Sylvia Lam,3126,94884,85419,95406,820
Kasey Ballard,2908,21769,76843,21924,717
Kendal Franco,3740,89016,97023,87088,1342
Alayna Hart,4015,56835,45196,57735,1055
Dominick Wagner,378,119997,5925,123692,734
Deborah Stafford,5042,4772,45534,5730,1003
Mckenzie Ho,4497,71749,96995,70579,1474
Yareli Joseph,4302,30775,45265,30981,619
Haiden Espinoza,4640,94912,94052,90851,1284
Kristina Vega,6579,22887,7743,20570,1302
Saul Lucas,6292,105920,136994,102376,1543
Reese Oneill,6625,108932,88706,75782,1491
Kenzie Barrera,6556,129181,112012,124999,3212
Aryanna Knox,6430,13107,58837,13268,803
Ashlynn Love,9304,185626,213723,190250,2162
Tatiana Hood,8484,64653,96335,75449,1548
Devin Cross,6367,101343,90088,97993,1319
Shaniya Collins,7135,25320,80704,25216,654
Gideon Wilson,8311,78977,2564,78673,1009
Jayvion Massey,7549,60368,108760,64286,1193
Arturo Smith,7830,126118,23627,128183,981
Reid Wang,8397,2346,20696,2328,837
Marin Williamson,7600,73774,2810,70820,940
Rose Wong,14776,30809,5822,30350,602
Kareem Mcfarland,9378,92446,92566,90731,854
Adriel Randolph,9751,17002,91247,18442,1026
Cloe Zuniga,166,74629,103,73700,923
Kendall Osborn,9688,46246,52946,47324,1107
Brenden Santana,9258,103551,23409,106333,1176
Desmond Cameron,9820,10044,87822,10308,1026
Scarlet Cline,10239,70355,103299,69334,894
Brandon Hubbard,10107,39253,82889,38261,912
Ismael Poole,17673,131321,38846,127661,1302
Kaila Lowe,12063,26065,23082,24528,814
Marlon Francis,11885,91115,103649,87690,1543
Scarlett Liu,11914,54741,99765,59531,1049
Kamron Suarez,11426,112718,11283,109087,877
Lesly Mcclain,11983,6143,48179,5851,946
Keira Clark,13864,73688,112511,75570,1124
Giuliana Tapia,15126,33356,21947,33838,843
Carter Gillespie,12304,94901,96897,93748,1061
Ella Medina,12975,19514,43136,23685,785
Dashawn Dorsey,13359,79895,91459,80262,1107
Elias Simpson,12528,46613,21052,46251,694
Ana Schaefer,14587,113492,49435,112741,1118
Brynn Zhang,436,13159,401,13141,1009
Carley Jackson,14369,81438,99364,74038,1336
Micaela Sheppard,13732,42930,45666,41215,648
Tiffany Kirk,15172,97064,88953,95216,808
Mariana Horton,15516,29278,87645,30000,1032
Lina Wright,11162,81283,2632,78495,843
Kade Ali,15878,57460,97528,56674,848
Giselle Frost,14839,111628,85803,108037,1158
Alonzo Blackwell,15751,4021,87048,4124,889
Justus Bradley,15872,60701,85459,59944,751
Casey Montoya,15619,31767,23300,31578,946
Sloane Mcguire,16491,88069,46951,86939,699
Samara Perkins,17759,15143,46074,15402,808
Jillian Callahan,18666,74956,95285,76499,883
Matias Novak,18121,45557,47703,45075,986
Tristian Middleton,16612,97006,44249,96811,717
Fisher Shea,18264,8547,10715,8748,780
Carlo Gates,18872,75914,99828,71325,1198
Griffin Hopkins,17610,37842,85660,37452,946
Mallory Townsend,16744,103328,13772,112247,1675
Giovani Spence,17386,22268,10841,21723,917
Darwin Golden,19830,96450,120015,94597,1669
Gloria Stevenson,16990,51385,11920,51483,1009
Kaley Downs,19945,113877,96381,109942,1181
Kyan Bradford,19515,4910,85792,4933,785
Madyson Faulkner,21166,66632,50353,68015,980
Deanna Estrada,19577,33723,96811,35570,1164
Jordan Moyer,20266,92629,49229,92681,1072
Kamora Mccarty,21040,19555,92136,20673,986
Khloe Newton,21901,79574,94608,75673,1021
Jaida Forbes,21860,50244,91712,50760,728
Jackson Walton,18717,124586,3688,128447,1095
Emerson Aguirre,20840,12579,94832,11839,866
Shiloh Johnston,21798,68766,49974,69891,722
Christian Jimenez,23903,43601,109815,42936,2139
Kailee Jordan,22497,99243,92790,103264,1273
